2021-03-22 13:03:73 INFO  BrowserSelector :32 - Launching Chrome Browser
2021-03-22 13:03:393 INFO  HelpPage :29 - Clicking on help ButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[2]/div[1]/ul[1]/div[1]/div[1]/li[4]'
2021-03-22 13:03:602 INFO  ManageYourInstallPage :29 - Clicking on manage your installProxy element for: DefaultElementLocator 'By.xpath: //body/section[2]/div[1]/div[1]/div[1]/div[1]/div[1]/ul[1]/li[7]/a[1]'
2021-03-22 13:03:672 INFO  ManageYourInstallPage :34 - Getting manage your install message[[ChromeDriver: chrome on WINDOWS (8d25997c84516e9cd4446d6d945f2afa)] -> xpath: //h1[contains(text(),'Manage your Install')]]
2021-03-22 13:03:782 INFO  InstallationPage :29 - Clicking on installation Button[[ChromeDriver: chrome on WINDOWS (8d25997c84516e9cd4446d6d945f2afa)] -> xpath: //body/section[1]/div[1]/div[1]/div[1]/div[1]/ul[3]/li[1]/a[1]]
2021-03-22 13:03:855 INFO  InstallationPage :34 - Getting Installation smart meter text[[ChromeDriver: chrome on WINDOWS (8d25997c84516e9cd4446d6d945f2afa)] -> xpath: //h1[contains(text(),'Installing your Smart Meter')]]
2021-03-22 13:03:208 INFO  SendUsAnEmailPage :26 - Clicking on Send us an email Button[[ChromeDriver: chrome on WINDOWS (8d25997c84516e9cd4446d6d945f2afa)] -> xpath: //body[1]/div[2]/div[2]/div[1]/div[1]/section[1]/ul[1]/li[1]/a[1]]
2021-03-22 13:03:240 INFO  HaveAQuestionPage :34 - Clicking on Have a question ButtonProxy element for: DefaultElementLocator 'By.xpath: //h3[contains(text(),'Have a question about your install?')]'
2021-03-22 13:03:496 INFO  HaveAQuestionPage :40 - selecting question about my install option[[ChromeDriver: chrome on WINDOWS (8d25997c84516e9cd4446d6d945f2afa)] -> xpath: //body[1]/section[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/select[1]]
2021-03-22 13:03:97 INFO  HaveAQuestionPage :46 - Clicking on Submit Button[[ChromeDriver: chrome on WINDOWS (8d25997c84516e9cd4446d6d945f2afa)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[20]/div[2]/input[1]]
2021-03-22 20:03:589 INFO  BrowserSelector :32 - Launching Chrome Browser
2021-03-22 20:03:137 INFO  HelpPage :29 - Clicking on help ButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[2]/div[1]/ul[1]/div[1]/div[1]/li[4]'
2021-03-22 20:03:391 INFO  ManageYourInstallPage :29 - Clicking on manage your installProxy element for: DefaultElementLocator 'By.xpath: //body/section[2]/div[1]/div[1]/div[1]/div[1]/div[1]/ul[1]/li[7]/a[1]'
2021-03-22 20:03:447 INFO  ManageYourInstallPage :34 - Getting manage your install message[[ChromeDriver: chrome on WINDOWS (d3cb51cd43a8b7c02fa031a6ee39c94b)] -> xpath: //h1[contains(text(),'Manage your Install')]]
2021-03-22 20:03:337 INFO  InstallationPage :29 - Clicking on installation Button[[ChromeDriver: chrome on WINDOWS (d3cb51cd43a8b7c02fa031a6ee39c94b)] -> xpath: //body/section[1]/div[1]/div[1]/div[1]/div[1]/ul[3]/li[1]/a[1]]
2021-03-22 20:03:411 INFO  InstallationPage :34 - Getting Installation smart meter text[[ChromeDriver: chrome on WINDOWS (d3cb51cd43a8b7c02fa031a6ee39c94b)] -> xpath: //h1[contains(text(),'Installing your Smart Meter')]]
2021-03-22 20:03:738 INFO  SendUsAnEmailPage :26 - Clicking on Send us an email Button[[ChromeDriver: chrome on WINDOWS (d3cb51cd43a8b7c02fa031a6ee39c94b)] -> xpath: //body[1]/div[2]/div[2]/div[1]/div[1]/section[1]/ul[1]/li[1]/a[1]]
2021-03-22 20:03:196 INFO  HaveAQuestionPage :37 - Clicking on Have a question ButtonProxy element for: DefaultElementLocator 'By.xpath: //h3[contains(text(),'Have a question about your install?')]'
2021-03-22 20:03:251 INFO  HaveAQuestionPage :41 - Getting manage your install message[[ChromeDriver: chrome on WINDOWS (d3cb51cd43a8b7c02fa031a6ee39c94b)] -> xpath: //h1[contains(text(),'Have a question about your install?')]]
2021-03-22 20:03:618 INFO  HaveAQuestionPage :48 - selecting question about my install option[[ChromeDriver: chrome on WINDOWS (d3cb51cd43a8b7c02fa031a6ee39c94b)] -> xpath: //body[1]/section[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/select[1]]
2021-03-22 20:03:259 INFO  HaveAQuestionPage :54 - Clicking on Submit Button[[ChromeDriver: chrome on WINDOWS (d3cb51cd43a8b7c02fa031a6ee39c94b)] -> xpath: //body/section[1]/div[1]/div[1]/div[2]/form[1]/div[20]/div[2]/input[1]]
2021-03-22 21:03:805 INFO  BrowserSelector :32 - Launching Chrome Browser
2021-03-22 21:03:497 INFO  HelpPage :29 - Clicking on help ButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[2]/div[1]/ul[1]/div[1]/div[1]/li[4]'
2021-03-22 21:03:739 INFO  ManageYourInstallPage :29 - Clicking on manage your installProxy element for: DefaultElementLocator 'By.xpath: //body/section[2]/div[1]/div[1]/div[1]/div[1]/div[1]/ul[1]/li[7]/a[1]'
2021-03-22 21:03:799 INFO  ManageYourInstallPage :34 - Getting manage your install message[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //h1[contains(text(),'Manage your Install')]]
2021-03-22 21:03:230 INFO  InstallationPage :29 - Clicking on installation Button[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //body/section[1]/div[1]/div[1]/div[1]/div[1]/ul[3]/li[1]/a[1]]
2021-03-22 21:03:323 INFO  InstallationPage :34 - Getting Installation smart meter text[[ChromeDriver: chrome on WINDOWS (e048e4cf4deaac201440bc4173d39a83)] -> xpath: //h1[contains(text(),'Installing your Smart Meter')]]
